state,value
Alabama,169
Alaska,52
Arkansas,123
Arizona,406
California,1395
Colorado,279
Connecticut,43
Delaware,23
District of Columbia,29
Florida,657
Georgia,317
Hawaii,41
Iowa,53
Idaho,61
Illinois,205
Indiana,159
Kansas,83
Kentucky,147
Louisiana,178
Maine,37
Maryland,152
Massachusetts,63
Michigan,142
Minnesota,100
Missouri,237
Mississippi,124
Montana,53
North Carolina,247
North Dakota,15
Nebraska,42
New Hampshire,22
New Jersey,115
New Mexico,169
Nevada,149
New York,185
Ohio,248
Oklahoma,250
Oregon,135
Pennsylvania,198
Rhode Island,6
South Carolina,137
South Dakota,28
Tennessee,213
Texas,836
Utah,101
Virginia,148
Vermont,13
Washington,258
Wisconsin,131
West Virginia,80
Wyoming,23